x,y,state
565.9375000000001,-51.875,VT
566.3000000000001,-51.5,VT
575.6,-46.2,VT
575.85,-46.1125,VT
576.1,-46.1,VT
576.35,-46.1125,VT
576.6,-46.2,VT
585.9,-51.5,VT
586.2624999999999,-51.875,VT
586.4,-52.4,VT
586.4,-63.2,VT
586.2624999999999,-63.725,VT
585.9,-64.10000000000001,VT
576.6,-69.4,VT
576.3499999999999,-69.45,VT
576.1,-69.5,VT
576.1,-69.5,VT
562,-253.4,VA
553.2,-248.4,VA
553.2,-238.20000000000002,VA
553.0625,-237.675,VA
552.7,-237.3,VA
543.8000000000001,-232.3,VA
543.8000000000001,-222.10000000000002,VA
543.6625,-221.57500000000002,VA
543.3000000000001,-221.20000000000002,VA
534.0000000000001,-215.70000000000002,VA
533.7500000000001,-215.6125,VA
533.5000000000001,-215.60000000000002,VA
533.2125000000001,-215.6125,VA
533.0000000000001,-215.70000000000002,VA
524.2000000000002,-220.9,VA
515.4000000000002,-215.70000000000002,VA
515.1500000000002,-215.6125,VA
514.9000000000002,-215.60000000000002,VA
514.6500000000002,-215.6125,VA
514.4000000000002,-215.70000000000002,VA
505.0000000000002,-221.20000000000002,VA
504.6375000000003,-221.57500000000002,VA
504.5000000000002,-222.10000000000002,VA
504.5000000000002,-232.3,VA
495.7000000000002,-237.3,VA
495.3375000000002,-237.675,VA
495.2000000000002,-238.20000000000002,VA
495.2000000000002,-248.4,VA
486.9000000000002,-253.1,VA
478.1000000000002,-248.1,VA
477.8500000000002,-248.0125,VA
477.6000000000002,-248,VA
477.3500000000002,-248.0125,VA
477.1000000000002,-248.1,VA
468.2000000000002,-253.1,VA
459.4000000000002,-248.1,VA
459.1500000000002,-248.0125,VA
458.9000000000002,-248,VA
458.6500000000002,-248.0125,VA
458.4000000000002,-248.1,VA
449.1000000000002,-253.4,VA
448.7375000000002,-253.775,VA
448.6000000000002,-254.3,VA
448.6000000000002,-265.1,VA
448.7375000000002,-265.625,VA
449.1000000000002,-266,VA
458.4000000000002,-271.5,VA
458.6500000000002,-271.58750000000003,VA
458.9000000000002,-271.6,VA
459.1875000000002,-271.58750000000003,VA
459.4000000000002,-271.5,VA
468.2000000000002,-266.3,VA
477.1000000000002,-271.5,VA
477.3500000000002,-271.58750000000003,VA
477.6000000000002,-271.6,VA
477.88750000000016,-271.58750000000003,VA
478.1000000000002,-271.5,VA
486.9000000000002,-266.3,VA
495.7000000000002,-271.5,VA
495.9500000000002,-271.58750000000003,VA
496.2000000000002,-271.6,VA
496.4875000000002,-271.58750000000003,VA
496.7000000000002,-271.5,VA
505.5000000000002,-266.3,VA
514.4000000000002,-271.5,VA
514.6500000000002,-271.58750000000003,VA
514.9000000000002,-271.6,VA
515.1875000000002,-271.58750000000003,VA
515.4000000000002,-271.5,VA
524.2000000000002,-266.3,VA
533.0000000000001,-271.5,VA
533.2500000000001,-271.58750000000003,VA
533.5000000000001,-271.6,VA
533.7875000000001,-271.58750000000003,VA
534.0000000000001,-271.5,VA
542.8000000000001,-266.3,VA
551.7,-271.5,VA
551.95,-271.58750000000003,VA
552.2,-271.6,VA
552.4875000000001,-271.58750000000003,VA
552.7,-271.5,VA
562,-266,VA
562.3625,-265.625,VA
562.5,-265.1,VA
562.5,-254.3,VA
562.4000000000001,-253.775,VA
562,-253.4,VA
562,-253.4,VA
167.9,-248.1,UT
167.65,-248.08749999999998,UT
167.4,-248,UT
158.6,-243,UT
149.79999999999998,-248,UT
149.54999999999998,-248.08749999999998,UT
149.29999999999998,-248.1,UT
149.04999999999998,-248.08749999999998,UT
148.79999999999998,-248,UT
139.49999999999997,-242.7,UT
139.13749999999996,-242.325,UT
138.99999999999997,-241.79999999999998,UT
138.99999999999997,-231.6,UT
130.09999999999997,-226.4,UT
129.73749999999995,-226.025,UT
129.59999999999997,-225.5,UT
129.59999999999997,-214.7,UT
129.73749999999995,-214.17499999999998,UT
130.09999999999997,-213.79999999999998,UT
139.49999999999997,-208.49999999999997,UT
139.74999999999997,-208.41249999999997,UT
139.99999999999997,-208.39999999999998,UT
140.24999999999997,-208.41249999999997,UT
140.49999999999997,-208.49999999999997,UT
149.29999999999998,-213.49999999999997,UT
158.1,-208.49999999999997,UT
158.35,-208.41249999999997,UT
158.6,-208.39999999999998,UT
158.85,-208.41249999999997,UT
159.1,-208.49999999999997,UT
168.4,-213.79999999999998,UT
168.76250000000002,-214.17499999999998,UT
168.9,-214.7,UT
168.9,-225,UT
177.8,-230.2,UT
178.16250000000002,-230.575,UT
178.3,-231.1,UT
178.3,-241.9,UT
178.16250000000002,-242.425,UT
177.8,-242.8,UT
168.4,-248.10000000000002,UT
168.11249999999998,-248.10000000000002,UT
167.9,-248.1,UT
167.9,-248.1,UT
271.8,-515.8,TX
271.51250000000005,-515.7874999999999,TX
271.3,-515.6999999999999,TX
262.5,-510.49999999999994,TX
253.7,-515.6999999999999,TX
253.45,-515.7874999999999,TX
253.2,-515.8,TX
